comment,date_experience,review_score,timestamp,title,user_name
Trello est un tableau d’affichage d’idée très fonctionnel. Il fait indéniablement parti de mes logiciels quotidiens et permet une grande réduction de post-it traînant partout à mon poste de travail.,Temps d'utilisation du logiciel : plus de deux ans,"5,0",il y a 3 ans,L’incontournable logiciel de gestion de projet,Céline
"Après n'avoir pas avoir été très productif dans mon travail, Trello a été la réponse à mes prières.",Temps d'utilisation du logiciel : plus d'un an,"5,0",il y a 3 ans,Mon outil d'organisation préféré,Alexandro
Trello me fait gagner beaucoup de temps dans mon usage quotidien. Je peux voir en quelques minutes mes tâches et planifier ma journée.,Temps d'utilisation du logiciel : plus d'un an,"5,0",il y a 10 mois,Je recommande Trello pour tous,Utilisateur vérifié
C'est un outil dont je ne peux plus me passer et qui me permet de rester en contact quotidien avec les collaborateurs avec qui je télétravaille.,Temps d'utilisation du logiciel : plus de deux ans,"5,0",il y a 2 ans,Un outil indispensable sur Mac lorsque l'on gère des petits projets,Sandrine
"Trello me permet d'organiser l'ensemble de mes tâches et de pouvoir les partager avec mes collègues, sans utiliser de post-it. Je le trouve assez difficile à comprendre mais très utile.",Temps d'utilisation du logiciel : plus de deux ans,"4,0",il y a 3 ans,Bon dans l'ensemble,Hugo
"Nous avons cherché longtemps un soft en français poru pouvoir gérer nos projets. et au quotidien, Trello est d'une simplicité incroyable à l'usage. Il est tellement facile de suivre l'avancement, de voir le retard, de relancer les collaborateurs.",Temps d'utilisation du logiciel : plus de deux ans,"5,0",il y a 4 ans,à propos de trello,Julien
Trello me permet de gagner du temps et d'avoir un vision globale de projet à tout moment de la journée et en n'importe quel lieu .,Temps d'utilisation du logiciel : plus de deux ans,"5,0",l’année dernière,"Logiciel de gestion fonctionnel, outil collaboratif indispensable",Anaïs
Très satisfait cependant l'outils n'a pas fédéré l'ensemble de l'équipe et à été remplacé,Temps d'utilisation du logiciel : 6 à 12 mois,"4,0",il y a 3 jours,"Simple, collaboratif et flexible",Emmanuel
J'utilise Trello tous les jours en entreprise avec le méthodologie KANBAN et j'adore travailler avec. L'application est fluide intuitive et permet de travailler en collaboration ou coopération.,Temps d'utilisation du logiciel : plus d'un an,"5,0",l’année dernière,Utilisation quotidienne,Utilisateur vérifié
"Il m'a beaucoup aidé à suivre de nombreux projets en cours, diviser les taches et partager les avancements avec tous les membres de mon équipe. Il m'a permis de s'assurer que les membres de votre équipe sont tous sur la même longueur d'onde. Les nouveaux employés peuvent également utiliser Trello pour avoir une vue d'ensemble de ce qui doit être fait et de la façon dont ils peuvent aider.",Temps d'utilisation du logiciel : plus de deux ans,,l’année dernière,Outil simple pour la collaboration et la gestion de projet,Utilisateur vérifié
Trello a permis tous les membres de notre équipe de communiquer et de collaborer de manière efficace.,Temps d'utilisation du logiciel : plus de deux ans,"4,0",l’année dernière,Utilisateur_Trello,Utilisateur vérifié
"Très bonne expérience globale sur cet outil. Je l'ai utilisé durant un emploi, nous étions une equipe de 20 personne et avions créer 4 Dashboard pour suivre les différents composant de produits et aussi pour le suivit des incidents.",Temps d'utilisation du logiciel : plus d'un an,"5,0",l’année dernière,Outil de gestion projet simple et intuitif,Utilisateur vérifié
"Selon mon experience, j'ai pu gérer mes projets en utilisant Trello. Ainsi, cela m'a aidé à atteindre mes objectifs. C'est le moyen le plus simple pour démarrer un nouveau projet.",Temps d'utilisation du logiciel : plus d'un an,"4,0",l’année dernière,Trello - Une liste de taches virtuelle,Utilisateur vérifié
Trello est un tableau d’affichage d’idée très fonctionnel. Il fait indéniablement parti de mes logiciels quotidiens et permet une grande réduction de post-it traînant partout à mon poste de travail.,Temps d'utilisation du logiciel : plus de deux ans,"5,0",il y a 3 ans,L’incontournable logiciel de gestion de projet,Céline
"Après n'avoir pas avoir été très productif dans mon travail, Trello a été la réponse à mes prières.",Temps d'utilisation du logiciel : plus d'un an,"5,0",il y a 3 ans,Mon outil d'organisation préféré,Alexandro
Trello me fait gagner beaucoup de temps dans mon usage quotidien. Je peux voir en quelques minutes mes tâches et planifier ma journée.,Temps d'utilisation du logiciel : plus d'un an,"5,0",il y a 10 mois,Je recommande Trello pour tous,Utilisateur vérifié
C'est un outil dont je ne peux plus me passer et qui me permet de rester en contact quotidien avec les collaborateurs avec qui je télétravaille.,Temps d'utilisation du logiciel : plus de deux ans,"5,0",il y a 2 ans,Un outil indispensable sur Mac lorsque l'on gère des petits projets,Sandrine
"Trello me permet d'organiser l'ensemble de mes tâches et de pouvoir les partager avec mes collègues, sans utiliser de post-it. Je le trouve assez difficile à comprendre mais très utile.",Temps d'utilisation du logiciel : plus de deux ans,"4,0",il y a 3 ans,Bon dans l'ensemble,Hugo
"Nous avons cherché longtemps un soft en français poru pouvoir gérer nos projets. et au quotidien, Trello est d'une simplicité incroyable à l'usage. Il est tellement facile de suivre l'avancement, de voir le retard, de relancer les collaborateurs.",Temps d'utilisation du logiciel : plus de deux ans,"5,0",il y a 4 ans,à propos de trello,Julien
Trello me permet de gagner du temps et d'avoir un vision globale de projet à tout moment de la journée et en n'importe quel lieu .,Temps d'utilisation du logiciel : plus de deux ans,"5,0",l’année dernière,"Logiciel de gestion fonctionnel, outil collaboratif indispensable",Anaïs
Très satisfait cependant l'outils n'a pas fédéré l'ensemble de l'équipe et à été remplacé,Temps d'utilisation du logiciel : 6 à 12 mois,"4,0",il y a 3 jours,"Simple, collaboratif et flexible",Emmanuel
J'utilise Trello tous les jours en entreprise avec le méthodologie KANBAN et j'adore travailler avec. L'application est fluide intuitive et permet de travailler en collaboration ou coopération.,Temps d'utilisation du logiciel : plus d'un an,"5,0",l’année dernière,Utilisation quotidienne,Utilisateur vérifié
"Il m'a beaucoup aidé à suivre de nombreux projets en cours, diviser les taches et partager les avancements avec tous les membres de mon équipe. Il m'a permis de s'assurer que les membres de votre équipe sont tous sur la même longueur d'onde. Les nouveaux employés peuvent également utiliser Trello pour avoir une vue d'ensemble de ce qui doit être fait et de la façon dont ils peuvent aider.",Temps d'utilisation du logiciel : plus de deux ans,,l’année dernière,Outil simple pour la collaboration et la gestion de projet,Utilisateur vérifié
Trello a permis tous les membres de notre équipe de communiquer et de collaborer de manière efficace.,Temps d'utilisation du logiciel : plus de deux ans,"4,0",l’année dernière,Utilisateur_Trello,Utilisateur vérifié
"Très bonne expérience globale sur cet outil. Je l'ai utilisé durant un emploi, nous étions une equipe de 20 personne et avions créer 4 Dashboard pour suivre les différents composant de produits et aussi pour le suivit des incidents.",Temps d'utilisation du logiciel : plus d'un an,"5,0",l’année dernière,Outil de gestion projet simple et intuitif,Utilisateur vérifié
"Selon mon experience, j'ai pu gérer mes projets en utilisant Trello. Ainsi, cela m'a aidé à atteindre mes objectifs. C'est le moyen le plus simple pour démarrer un nouveau projet.",Temps d'utilisation du logiciel : plus d'un an,"4,0",l’année dernière,Trello - Une liste de taches virtuelle,Utilisateur vérifié
Trello est un tableau d’affichage d’idée très fonctionnel. Il fait indéniablement parti de mes logiciels quotidiens et permet une grande réduction de post-it traînant partout à mon poste de travail.,Temps d'utilisation du logiciel : plus de deux ans,"5,0",il y a 3 ans,L’incontournable logiciel de gestion de projet,Céline
"Après n'avoir pas avoir été très productif dans mon travail, Trello a été la réponse à mes prières.",Temps d'utilisation du logiciel : plus d'un an,"5,0",il y a 3 ans,Mon outil d'organisation préféré,Alexandro
Trello me fait gagner beaucoup de temps dans mon usage quotidien. Je peux voir en quelques minutes mes tâches et planifier ma journée.,Temps d'utilisation du logiciel : plus d'un an,"5,0",il y a 10 mois,Je recommande Trello pour tous,Utilisateur vérifié
C'est un outil dont je ne peux plus me passer et qui me permet de rester en contact quotidien avec les collaborateurs avec qui je télétravaille.,Temps d'utilisation du logiciel : plus de deux ans,"5,0",il y a 2 ans,Un outil indispensable sur Mac lorsque l'on gère des petits projets,Sandrine
"Trello me permet d'organiser l'ensemble de mes tâches et de pouvoir les partager avec mes collègues, sans utiliser de post-it. Je le trouve assez difficile à comprendre mais très utile.",Temps d'utilisation du logiciel : plus de deux ans,"4,0",il y a 3 ans,Bon dans l'ensemble,Hugo
"Nous avons cherché longtemps un soft en français poru pouvoir gérer nos projets. et au quotidien, Trello est d'une simplicité incroyable à l'usage. Il est tellement facile de suivre l'avancement, de voir le retard, de relancer les collaborateurs.",Temps d'utilisation du logiciel : plus de deux ans,"5,0",il y a 4 ans,à propos de trello,Julien
Trello me permet de gagner du temps et d'avoir un vision globale de projet à tout moment de la journée et en n'importe quel lieu .,Temps d'utilisation du logiciel : plus de deux ans,"5,0",l’année dernière,"Logiciel de gestion fonctionnel, outil collaboratif indispensable",Anaïs
Très satisfait cependant l'outils n'a pas fédéré l'ensemble de l'équipe et à été remplacé,Temps d'utilisation du logiciel : 6 à 12 mois,"4,0",il y a 3 jours,"Simple, collaboratif et flexible",Emmanuel
J'utilise Trello tous les jours en entreprise avec le méthodologie KANBAN et j'adore travailler avec. L'application est fluide intuitive et permet de travailler en collaboration ou coopération.,Temps d'utilisation du logiciel : plus d'un an,"5,0",l’année dernière,Utilisation quotidienne,Utilisateur vérifié
"Il m'a beaucoup aidé à suivre de nombreux projets en cours, diviser les taches et partager les avancements avec tous les membres de mon équipe. Il m'a permis de s'assurer que les membres de votre équipe sont tous sur la même longueur d'onde. Les nouveaux employés peuvent également utiliser Trello pour avoir une vue d'ensemble de ce qui doit être fait et de la façon dont ils peuvent aider.",Temps d'utilisation du logiciel : plus de deux ans,,l’année dernière,Outil simple pour la collaboration et la gestion de projet,Utilisateur vérifié
Trello a permis tous les membres de notre équipe de communiquer et de collaborer de manière efficace.,Temps d'utilisation du logiciel : plus de deux ans,"4,0",l’année dernière,Utilisateur_Trello,Utilisateur vérifié
"Très bonne expérience globale sur cet outil. Je l'ai utilisé durant un emploi, nous étions une equipe de 20 personne et avions créer 4 Dashboard pour suivre les différents composant de produits et aussi pour le suivit des incidents.",Temps d'utilisation du logiciel : plus d'un an,"5,0",l’année dernière,Outil de gestion projet simple et intuitif,Utilisateur vérifié
"Selon mon experience, j'ai pu gérer mes projets en utilisant Trello. Ainsi, cela m'a aidé à atteindre mes objectifs. C'est le moyen le plus simple pour démarrer un nouveau projet.",Temps d'utilisation du logiciel : plus d'un an,"4,0",l’année dernière,Trello - Une liste de taches virtuelle,Utilisateur vérifié
Trello est un tableau d’affichage d’idée très fonctionnel. Il fait indéniablement parti de mes logiciels quotidiens et permet une grande réduction de post-it traînant partout à mon poste de travail.,Temps d'utilisation du logiciel : plus de deux ans,"5,0",il y a 3 ans,L’incontournable logiciel de gestion de projet,Céline
"Après n'avoir pas avoir été très productif dans mon travail, Trello a été la réponse à mes prières.",Temps d'utilisation du logiciel : plus d'un an,"5,0",il y a 3 ans,Mon outil d'organisation préféré,Alexandro
Trello me fait gagner beaucoup de temps dans mon usage quotidien. Je peux voir en quelques minutes mes tâches et planifier ma journée.,Temps d'utilisation du logiciel : plus d'un an,"5,0",il y a 10 mois,Je recommande Trello pour tous,Utilisateur vérifié
C'est un outil dont je ne peux plus me passer et qui me permet de rester en contact quotidien avec les collaborateurs avec qui je télétravaille.,Temps d'utilisation du logiciel : plus de deux ans,"5,0",il y a 2 ans,Un outil indispensable sur Mac lorsque l'on gère des petits projets,Sandrine
"Trello me permet d'organiser l'ensemble de mes tâches et de pouvoir les partager avec mes collègues, sans utiliser de post-it. Je le trouve assez difficile à comprendre mais très utile.",Temps d'utilisation du logiciel : plus de deux ans,"4,0",il y a 3 ans,Bon dans l'ensemble,Hugo
"Nous avons cherché longtemps un soft en français poru pouvoir gérer nos projets. et au quotidien, Trello est d'une simplicité incroyable à l'usage. Il est tellement facile de suivre l'avancement, de voir le retard, de relancer les collaborateurs.",Temps d'utilisation du logiciel : plus de deux ans,"5,0",il y a 4 ans,à propos de trello,Julien
Trello me permet de gagner du temps et d'avoir un vision globale de projet à tout moment de la journée et en n'importe quel lieu .,Temps d'utilisation du logiciel : plus de deux ans,"5,0",l’année dernière,"Logiciel de gestion fonctionnel, outil collaboratif indispensable",Anaïs
Très satisfait cependant l'outils n'a pas fédéré l'ensemble de l'équipe et à été remplacé,Temps d'utilisation du logiciel : 6 à 12 mois,"4,0",il y a 3 jours,"Simple, collaboratif et flexible",Emmanuel
J'utilise Trello tous les jours en entreprise avec le méthodologie KANBAN et j'adore travailler avec. L'application est fluide intuitive et permet de travailler en collaboration ou coopération.,Temps d'utilisation du logiciel : plus d'un an,"5,0",l’année dernière,Utilisation quotidienne,Utilisateur vérifié
"Il m'a beaucoup aidé à suivre de nombreux projets en cours, diviser les taches et partager les avancements avec tous les membres de mon équipe. Il m'a permis de s'assurer que les membres de votre équipe sont tous sur la même longueur d'onde. Les nouveaux employés peuvent également utiliser Trello pour avoir une vue d'ensemble de ce qui doit être fait et de la façon dont ils peuvent aider.",Temps d'utilisation du logiciel : plus de deux ans,,l’année dernière,Outil simple pour la collaboration et la gestion de projet,Utilisateur vérifié
Trello a permis tous les membres de notre équipe de communiquer et de collaborer de manière efficace.,Temps d'utilisation du logiciel : plus de deux ans,"4,0",l’année dernière,Utilisateur_Trello,Utilisateur vérifié
"Très bonne expérience globale sur cet outil. Je l'ai utilisé durant un emploi, nous étions une equipe de 20 personne et avions créer 4 Dashboard pour suivre les différents composant de produits et aussi pour le suivit des incidents.",Temps d'utilisation du logiciel : plus d'un an,"5,0",l’année dernière,Outil de gestion projet simple et intuitif,Utilisateur vérifié
"Selon mon experience, j'ai pu gérer mes projets en utilisant Trello. Ainsi, cela m'a aidé à atteindre mes objectifs. C'est le moyen le plus simple pour démarrer un nouveau projet.",Temps d'utilisation du logiciel : plus d'un an,"4,0",l’année dernière,Trello - Une liste de taches virtuelle,Utilisateur vérifié
Trello est un tableau d’affichage d’idée très fonctionnel. Il fait indéniablement parti de mes logiciels quotidiens et permet une grande réduction de post-it traînant partout à mon poste de travail.,Temps d'utilisation du logiciel : plus de deux ans,"5,0",il y a 3 ans,L’incontournable logiciel de gestion de projet,Céline
"Après n'avoir pas avoir été très productif dans mon travail, Trello a été la réponse à mes prières.",Temps d'utilisation du logiciel : plus d'un an,"5,0",il y a 3 ans,Mon outil d'organisation préféré,Alexandro
Trello me fait gagner beaucoup de temps dans mon usage quotidien. Je peux voir en quelques minutes mes tâches et planifier ma journée.,Temps d'utilisation du logiciel : plus d'un an,"5,0",il y a 10 mois,Je recommande Trello pour tous,Utilisateur vérifié
C'est un outil dont je ne peux plus me passer et qui me permet de rester en contact quotidien avec les collaborateurs avec qui je télétravaille.,Temps d'utilisation du logiciel : plus de deux ans,"5,0",il y a 2 ans,Un outil indispensable sur Mac lorsque l'on gère des petits projets,Sandrine
"Trello me permet d'organiser l'ensemble de mes tâches et de pouvoir les partager avec mes collègues, sans utiliser de post-it. Je le trouve assez difficile à comprendre mais très utile.",Temps d'utilisation du logiciel : plus de deux ans,"4,0",il y a 3 ans,Bon dans l'ensemble,Hugo
"Nous avons cherché longtemps un soft en français poru pouvoir gérer nos projets. et au quotidien, Trello est d'une simplicité incroyable à l'usage. Il est tellement facile de suivre l'avancement, de voir le retard, de relancer les collaborateurs.",Temps d'utilisation du logiciel : plus de deux ans,"5,0",il y a 4 ans,à propos de trello,Julien
Trello me permet de gagner du temps et d'avoir un vision globale de projet à tout moment de la journée et en n'importe quel lieu .,Temps d'utilisation du logiciel : plus de deux ans,"5,0",l’année dernière,"Logiciel de gestion fonctionnel, outil collaboratif indispensable",Anaïs
Très satisfait cependant l'outils n'a pas fédéré l'ensemble de l'équipe et à été remplacé,Temps d'utilisation du logiciel : 6 à 12 mois,"4,0",il y a 3 jours,"Simple, collaboratif et flexible",Emmanuel
J'utilise Trello tous les jours en entreprise avec le méthodologie KANBAN et j'adore travailler avec. L'application est fluide intuitive et permet de travailler en collaboration ou coopération.,Temps d'utilisation du logiciel : plus d'un an,"5,0",l’année dernière,Utilisation quotidienne,Utilisateur vérifié
"Il m'a beaucoup aidé à suivre de nombreux projets en cours, diviser les taches et partager les avancements avec tous les membres de mon équipe. Il m'a permis de s'assurer que les membres de votre équipe sont tous sur la même longueur d'onde. Les nouveaux employés peuvent également utiliser Trello pour avoir une vue d'ensemble de ce qui doit être fait et de la façon dont ils peuvent aider.",Temps d'utilisation du logiciel : plus de deux ans,,l’année dernière,Outil simple pour la collaboration et la gestion de projet,Utilisateur vérifié
Trello a permis tous les membres de notre équipe de communiquer et de collaborer de manière efficace.,Temps d'utilisation du logiciel : plus de deux ans,"4,0",l’année dernière,Utilisateur_Trello,Utilisateur vérifié
"Très bonne expérience globale sur cet outil. Je l'ai utilisé durant un emploi, nous étions une equipe de 20 personne et avions créer 4 Dashboard pour suivre les différents composant de produits et aussi pour le suivit des incidents.",Temps d'utilisation du logiciel : plus d'un an,"5,0",l’année dernière,Outil de gestion projet simple et intuitif,Utilisateur vérifié
"Selon mon experience, j'ai pu gérer mes projets en utilisant Trello. Ainsi, cela m'a aidé à atteindre mes objectifs. C'est le moyen le plus simple pour démarrer un nouveau projet.",Temps d'utilisation du logiciel : plus d'un an,"4,0",l’année dernière,Trello - Une liste de taches virtuelle,Utilisateur vérifié
Trello est un tableau d’affichage d’idée très fonctionnel. Il fait indéniablement parti de mes logiciels quotidiens et permet une grande réduction de post-it traînant partout à mon poste de travail.,Temps d'utilisation du logiciel : plus de deux ans,"5,0",il y a 3 ans,L’incontournable logiciel de gestion de projet,Céline
"Après n'avoir pas avoir été très productif dans mon travail, Trello a été la réponse à mes prières.",Temps d'utilisation du logiciel : plus d'un an,"5,0",il y a 3 ans,Mon outil d'organisation préféré,Alexandro
Trello me fait gagner beaucoup de temps dans mon usage quotidien. Je peux voir en quelques minutes mes tâches et planifier ma journée.,Temps d'utilisation du logiciel : plus d'un an,"5,0",il y a 10 mois,Je recommande Trello pour tous,Utilisateur vérifié
C'est un outil dont je ne peux plus me passer et qui me permet de rester en contact quotidien avec les collaborateurs avec qui je télétravaille.,Temps d'utilisation du logiciel : plus de deux ans,"5,0",il y a 2 ans,Un outil indispensable sur Mac lorsque l'on gère des petits projets,Sandrine
"Trello me permet d'organiser l'ensemble de mes tâches et de pouvoir les partager avec mes collègues, sans utiliser de post-it. Je le trouve assez difficile à comprendre mais très utile.",Temps d'utilisation du logiciel : plus de deux ans,"4,0",il y a 3 ans,Bon dans l'ensemble,Hugo
"Nous avons cherché longtemps un soft en français poru pouvoir gérer nos projets. et au quotidien, Trello est d'une simplicité incroyable à l'usage. Il est tellement facile de suivre l'avancement, de voir le retard, de relancer les collaborateurs.",Temps d'utilisation du logiciel : plus de deux ans,"5,0",il y a 4 ans,à propos de trello,Julien
Trello me permet de gagner du temps et d'avoir un vision globale de projet à tout moment de la journée et en n'importe quel lieu .,Temps d'utilisation du logiciel : plus de deux ans,"5,0",l’année dernière,"Logiciel de gestion fonctionnel, outil collaboratif indispensable",Anaïs
Très satisfait cependant l'outils n'a pas fédéré l'ensemble de l'équipe et à été remplacé,Temps d'utilisation du logiciel : 6 à 12 mois,"4,0",il y a 3 jours,"Simple, collaboratif et flexible",Emmanuel
J'utilise Trello tous les jours en entreprise avec le méthodologie KANBAN et j'adore travailler avec. L'application est fluide intuitive et permet de travailler en collaboration ou coopération.,Temps d'utilisation du logiciel : plus d'un an,"5,0",l’année dernière,Utilisation quotidienne,Utilisateur vérifié
"Il m'a beaucoup aidé à suivre de nombreux projets en cours, diviser les taches et partager les avancements avec tous les membres de mon équipe. Il m'a permis de s'assurer que les membres de votre équipe sont tous sur la même longueur d'onde. Les nouveaux employés peuvent également utiliser Trello pour avoir une vue d'ensemble de ce qui doit être fait et de la façon dont ils peuvent aider.",Temps d'utilisation du logiciel : plus de deux ans,,l’année dernière,Outil simple pour la collaboration et la gestion de projet,Utilisateur vérifié
Trello a permis tous les membres de notre équipe de communiquer et de collaborer de manière efficace.,Temps d'utilisation du logiciel : plus de deux ans,"4,0",l’année dernière,Utilisateur_Trello,Utilisateur vérifié
"Très bonne expérience globale sur cet outil. Je l'ai utilisé durant un emploi, nous étions une equipe de 20 personne et avions créer 4 Dashboard pour suivre les différents composant de produits et aussi pour le suivit des incidents.",Temps d'utilisation du logiciel : plus d'un an,"5,0",l’année dernière,Outil de gestion projet simple et intuitif,Utilisateur vérifié
"Selon mon experience, j'ai pu gérer mes projets en utilisant Trello. Ainsi, cela m'a aidé à atteindre mes objectifs. C'est le moyen le plus simple pour démarrer un nouveau projet.",Temps d'utilisation du logiciel : plus d'un an,"4,0",l’année dernière,Trello - Une liste de taches virtuelle,Utilisateur vérifié
Trello est un tableau d’affichage d’idée très fonctionnel. Il fait indéniablement parti de mes logiciels quotidiens et permet une grande réduction de post-it traînant partout à mon poste de travail.,Temps d'utilisation du logiciel : plus de deux ans,"5,0",il y a 3 ans,L’incontournable logiciel de gestion de projet,Céline
"Après n'avoir pas avoir été très productif dans mon travail, Trello a été la réponse à mes prières.",Temps d'utilisation du logiciel : plus d'un an,"5,0",il y a 3 ans,Mon outil d'organisation préféré,Alexandro
Trello me fait gagner beaucoup de temps dans mon usage quotidien. Je peux voir en quelques minutes mes tâches et planifier ma journée.,Temps d'utilisation du logiciel : plus d'un an,"5,0",il y a 10 mois,Je recommande Trello pour tous,Utilisateur vérifié
C'est un outil dont je ne peux plus me passer et qui me permet de rester en contact quotidien avec les collaborateurs avec qui je télétravaille.,Temps d'utilisation du logiciel : plus de deux ans,"5,0",il y a 2 ans,Un outil indispensable sur Mac lorsque l'on gère des petits projets,Sandrine
"Trello me permet d'organiser l'ensemble de mes tâches et de pouvoir les partager avec mes collègues, sans utiliser de post-it. Je le trouve assez difficile à comprendre mais très utile.",Temps d'utilisation du logiciel : plus de deux ans,"4,0",il y a 3 ans,Bon dans l'ensemble,Hugo
"Nous avons cherché longtemps un soft en français poru pouvoir gérer nos projets. et au quotidien, Trello est d'une simplicité incroyable à l'usage. Il est tellement facile de suivre l'avancement, de voir le retard, de relancer les collaborateurs.",Temps d'utilisation du logiciel : plus de deux ans,"5,0",il y a 4 ans,à propos de trello,Julien
Trello me permet de gagner du temps et d'avoir un vision globale de projet à tout moment de la journée et en n'importe quel lieu .,Temps d'utilisation du logiciel : plus de deux ans,"5,0",l’année dernière,"Logiciel de gestion fonctionnel, outil collaboratif indispensable",Anaïs
Très satisfait cependant l'outils n'a pas fédéré l'ensemble de l'équipe et à été remplacé,Temps d'utilisation du logiciel : 6 à 12 mois,"4,0",il y a 3 jours,"Simple, collaboratif et flexible",Emmanuel
J'utilise Trello tous les jours en entreprise avec le méthodologie KANBAN et j'adore travailler avec. L'application est fluide intuitive et permet de travailler en collaboration ou coopération.,Temps d'utilisation du logiciel : plus d'un an,"5,0",l’année dernière,Utilisation quotidienne,Utilisateur vérifié
